"ocupacao","porte","modalidade","numero_de_operacoes","a_vencer_ate_90_dias","a_vencer_de_91_ate_360_dias","a_vencer_de_361_ate_1080_dias","a_vencer_de_1081_ate_1800_dias","a_vencer_de_1801_ate_5400_dias","a_vencer_acima_de_5400_dias","vencido_acima_de_15_dias","carteira_ativa","carteira_inadimplida_arrastada","ativo_problematico"
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",-0.0918060023984795,-0.150450486147573,-0.185705731483034,-0.141117533379949,-0.120847996864335,-0.0917508076360023,-0.0569760413414939,-0.153028624420609,-0.167416900466979,-0.19793348158164,-0.199153543253332
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",0.0969679437288629,2.10886164692959,0.873936092994637,-0.100094792186502,-0.103811333513428,-0.0877681894451276,-0.0559396657362922,0.299482398265974,0.580890297266686,0.152697849265173,0.174247305933775
"Aposentado/pensionista","Acima de 20 salários mínimos","Cartão de crédito",-0.0919552072246946,-0.151014311876181,-0.195598925301014,-0.140857404040833,-0.120457529364328,-0.0913165430141369,-0.0569760413414939,-0.147846453911017,-0.168754787234877,-0.192765604262881,-0.193204773863967
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo com consignação em folha",-0.0442245833184846,0.300426251894304,1.37889473453572,2.04310563945681,2.26628352400779,1.02352666593947,-0.0569760413414939,-0.0685990644834761,1.48874246629141,0.301685322502262,0.326218303731225
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo com consignação em folha",-0.0919552072246946,-0.151056413667516,-0.195761673099951,-0.141117533379949,-0.120847996864335,-0.0917508076360023,-0.0520304100150696,-0.138549133466426,-0.167759757277175,-0.18312577059347,-0.182445478353035
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo sem consignação em folha",-0.0919552072246946,-0.151056413667516,-0.190625643626416,-0.141117533379949,-0.120847996864335,-0.0917508076360023,-0.0569760413414939,-0.153028624420609,-0.168418263252963,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Empréstimo sem consignação em folha",-0.0677840253778486,0.0776944909633841,0.508905226771355,0.426345301322834,0.333280832200004,0.0524934462399715,-0.0569760413414939,-0.0441318257506421,0.276476443867529,0.204230107324631,0.167903921387618
"Aposentado/pensionista","Acima de 20 salários mínimos","Habitacional",-0.0919552072246946,-0.14993010520032,-0.191748954466159,-0.135086294280464,-0.112275753041738,-0.0788936431221878,-0.0504961865322336,-0.153028624420609,-0.160683944837485,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Habitacional",-0.0898663396576832,-0.109384720646585,-0.0454773582569738,0.0733730870351023,0.155626797435374,0.221029158392259,0.0301368586771164,-0.150990286252501,0.0705402182241239,-0.19793348158164,-0.190241440351346
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",-0.0919552072246946,-0.150894601769678,-0.195761673099951,-0.141117533379949,-0.120847996864335,-0.0917508076360023,-0.0569760413414939,-0.153028381994742,-0.169279220805096,-0.197933233660481,-0.19928161456757
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",-0.0688583001265973,-0.00925602079386873,-0.0241192609011434,-0.0141334911857091,0.00934393531351697,-0.0199856430493604,-0.0569760413414939,-0.0339755398270321,-0.0254857638506568,0.0363309743259343,0.245632423804383
"Aposentado/pensionista","Acima de 20 salários mínimos","Outros créditos",-0.0919552072246946,-0.150393481465968,-0.193441778795263,-0.138088911082089,-0.12000101952312,-0.0915266434437029,-0.0569760413414939,-0.115240808520739,-0.165781219098737,-0.159357106247158,-0.176391509099179
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0919552072246946,-0.151056413667516,-0.19037677259048,-0.132695397357836,-0.108899505803103,-0.0886228815584324,-0.0569760413414939,-0.153028624420609,-0.163379291372383,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0898364986924402,0.135655047176089,0.525411072191112,0.0448608042052125,-0.000839285020950992,-0.0356319616022142,-0.0517845114604913,-0.148499721042129,0.10902970189428,-0.19793348158164,-0.173011548698628
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0919552072246946,-0.14913852452848,-0.185071430157958,-0.123907039907673,-0.115041009830183,-0.0885721259693034,-0.0569760413414939,-0.153028624420609,-0.160565559936088,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0919552072246946,-0.14867981347656,-0.158209800379825,-0.103089081753306,-0.120847996864335,-0.0917508076360023,-0.0569760413414939,-0.153028624420609,-0.151951013513358,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0919552072246946,-0.151056413667516,-0.188097941564117,-0.131163731975366,-0.11210330414676,-0.0917508076360023,-0.0569760413414939,-0.153028624420609,-0.163953830057725,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0917313999853719,-0.149415546398531,-0.0303397623700167,-0.106168121425072,-0.0544496044252639,-0.0225092736164075,-0.0569760413414939,-0.153028624420609,-0.100596774035384,-0.19793348158164,-0.199281750948634
"Aposentado/pensionista","Acima de 20 salários mínimos","Rural e agroindustrial",-0.0919552072246946,-0.151056413667516,-0.128332347885706,-0.0534239423316775,-0.111093851556262,-0.0917508076360023,-0.0569760413414939,-0.153028624420609,-0.132400771865449,-0.19793348158164,-0.199281750948634
